Dmax_est,Dmax_true,Rg_guinier,Rg_true,dmax_over_rg,in_window,method,nchannel_max,noise,params,rel_err,rg_gui_err,seed,shape,time_ms,x_converged,x_nmax,x_nsol,x_rg_nn,x_sigma
5.178953330648197,4.0,1.5912931574466902,1.54919333851277,2.581988897421939,True,shannon_ex,5,0.1,,0.2947383326620492,0.027175316267713922,2,sphere,16.913915998884477,False,6,0,,0.09759918032630521
5.020861010097933,4.0,1.5912931574466902,1.54919333851277,2.581988897421939,True,dnn,5,0.1,,0.2552152525244833,0.027175316267713922,2,sphere,0.2300970008946024,,,,1.5237921013581306,
4.77387947234007,4.0,1.5912931574466902,1.54919333851277,2.581988897421939,True,three_rg,5,0.1,,0.19346986808501754,0.027175316267713922,2,sphere,0.0016789999790489674,,,,,
5.463463720109184,4.0,1.591222868824558,1.54919333851277,2.581988897421939,True,shannon,5,0.2,,0.36586593002729595,0.02712994515722381,0,sphere,18.931064994831104,True,6,4,,0.0015912228688246266
4.5530792218890355,4.0,1.591222868824558,1.54919333851277,2.581988897421939,True,shannon_ex,5,0.2,,0.13826980547225887,0.02712994515722381,0,sphere,17.92367300367914,False,5,0,,0.5499636351720363
5.034084341374342,4.0,1.591222868824558,1.54919333851277,2.581988897421939,True,dnn,5,0.2,,0.25852108534358553,0.02712994515722381,0,sphere,0.26632999652065337,,,,1.5249239444588147,
4.773668606473674,4.0,1.591222868824558,1.54919333851277,2.581988897421939,True,three_rg,5,0.2,,0.19341715161841844,0.02712994515722381,0,sphere,0.002310996933374554,,,,,
5.5039316874913835,4.0,1.5843211535668966,1.54919333851277,2.581988897421939,True,shannon,5,0.2,,0.3759829218728459,0.022674907115111498,1,sphere,21.344177999708336,True,7,1,,0.019011853842802573
4.322249414450631,4.0,1.5843211535668966,1.54919333851277,2.581988897421939,True,shannon_ex,5,0.2,,0.08056235361265784,0.022674907115111498,1,sphere,17.683736004983075,False,5,0,,0.05267257350943444
5.0155781373737,4.0,1.5843211535668966,1.54919333851277,2.581988897421939,True,dnn,5,0.2,,0.2538945343434249,0.022674907115111498,1,sphere,0.22849199740448967,,,,1.523678756257565,
4.752963460700689,4.0,1.5843211535668966,1.54919333851277,2.581988897421939,True,three_rg,5,0.2,,0.18824086517517236,0.022674907115111498,1,sphere,0.001767002686392516,,,,,
5.452104054015798,4.0,1.591855198252791,1.54919333851277,2.581988897421939,True,shannon,5,0.2,,0.3630260135039496,0.027538112048026565,2,sphere,18.197630997747183,True,6,1,,0.0015918551982525564
4.904746109731436,4.0,1.591855198252791,1.54919333851277,2.581988897421939,True,shannon_ex,5,0.2,,0.22618652743285894,0.027538112048026565,2,sphere,17.385264996846672,False,6,0,,0.07436128024861333
5.021194593062045,4.0,1.591855198252791,1.54919333851277,2.581988897421939,True,dnn,5,0.2,,0.2552986482655113,0.027538112048026565,2,sphere,0.29439100035233423,,,,1.5243688961214876,
4.7755655947583735,4.0,1.591855198252791,1.54919333851277,2.581988897421939,True,three_rg,5,0.2,,0.19389139868959337,0.027538112048026565,2,sphere,0.001577995135448873,,,,,
5.848851562653328,6.0,2.3246627832485407,2.3237900077754694,2.581988897414923,True,shannon,7,0.0,,-0.025191406224445306,0.00037558276356769086,0,sphere,16.76404700265266,True,7,4,,0.036032273140351734
5.84588106289382,6.0,2.3246627832485407,2.3237900077754694,2.581988897414923,True,shannon_ex,7,0.0,,-0.025686489517696625,0.00037558276356769086,0,sphere,19.118493000860326,True,7,3,,0.03640604345514564
7.052517886584156,6.0,2.3246627832485407,2.3237900077754694,2.581988897414923,True,dnn,7,0.0,,0.17541964776402605,0.00037558276356769086,0,sphere,0.33177500154124573,,,,2.3068307813511226,
6.973988349745622,6.0,2.3246627832485407,2.3237900077754694,2.581988897414923,True,three_rg,7,0.0,,0.16233139162427035,0.00037558276356769086,0,sphere,0.00206800177693367,,,,,
8.08375167610742,6.0,2.39058159873055,2.3237900077754694,2.581988897414923,True,shannon,7,0.02,,0.34729194601790336,0.028742524381116227,0,sphere,18.248648004373536,True,10,4,,0.0
5.847817554566966,6.0,2.39058159873055,2.3237900077754694,2.581988897414923,True,shannon_ex,7,0.02,,-0.02536374090550571,0.028742524381116227,0,sphere,18.222163002064917,True,7,4,,0.038342535128292
7.0567850869059185,6.0,2.39058159873055,2.3237900077754694,2.581988897414923,True,dnn,7,0.02,,0.1761308478176531,0.028742524381116227,0,sphere,0.22290700144367293,,,,2.3069456753744433,
7.17174479619165,6.0,2.39058159873055,2.3237900077754694,2.581988897414923,True,three_rg,7,0.02,,0.19529079936527496,0.028742524381116227,0,sphere,0.0015379991964437068,,,,,
8.362838006548122,6.0,2.3893822875852018,2.3237900077754694,2.581988897414923,True,shannon,7,0.02,,0.393806334424687,0.028226423037477,1,sphere,17.23209700139705,True,10,5,,0.0
5.849754046240112,6.0,2.3893822875852018,2.3237900077754694,2.581988897414923,True,shannon_ex,7,0.02,,-0.025040992293314652,0.028226423037477,1,sphere,17.04516699828673,True,7,3,,0.03253306010885382
7.0511616808971835,6.0,2.3893822875852018,2.3237900077754694,2.581988897414923,True,dnn,7,0.02,,0.1751936134828639,0.028226423037477,1,sphere,0.28772099904017523,,,,2.306811414636115,
7.168146862755606,6.0,2.3893822875852018,2.3237900077754694,2.581988897414923,True,three_rg,7,0.02,,0.19469114379260097,0.028226423037477,1,sphere,0.001987995347008109,,,,,
7.736788171485387,6.0,2.3765283893366154,2.3237900077754694,2.581988897414923,True,shannon,7,0.02,,0.2894646952475644,0.02269498594308513,2,sphere,16.731934003473725,True,9,2,,0.0011882641946683314
