Dmax_bift,Dmax_bift_err,I0_gui,Rg_bift,Rg_dnn,Rg_gui,chi2,dmax_over_rg,dnn,file,knee,logP,qmin_Rg,shannon,three_rg
12.19,0.0,0.0324747082991471,4.84,13.187224310667515,2.5556646623177057,5.5,2.518595041322314,45.466762051796934,sample_2R3a0000-integrate_subtracted.dat,3.525283835201043,-2545.54,0.4121877774050218,6.593614828779682,7.666993986953117
2.88,0.01,0.002005569861623224,1.11,13.32935434541485,1.1436202892229477,0.85,2.5945945945945943,45.615319437873346,sample_2R3b0000-integrate_subtracted.dat,1.5775098269541339,-411.35,0.09453066795858973,3.4480151720072096,3.430860867668843
10.77,0.01,0.012899343235041064,4.1,13.158947844773756,2.9807636241895836,1.79,2.626829268292683,45.18554738346207,sample_2R3c0000-integrate_subtracted.dat,4.111665343207112,-851.93,0.34916733209929535,7.4851232837149295,8.942290872568751
4.6,0.03,0.001956113891477949,1.77,13.08329440671138,1.8224497759854656,1.2,2.5988700564971747,45.475315847695995,sample_2R3f0000-integrate_subtracted.dat,2.5138872209943512,-564.79,0.1507380921501836,4.801547676463052,5.467349327956397
5.41,0.0,0.0037898353825094456,2.11,13.047903144692844,1.2356621729604929,1.09,2.563981042654029,45.670606984859205,sample_2R3h0000-integrate_subtracted.dat,1.7044724013817036,-540.54,0.1796934318852471,3.188008406238077,3.706986518881479
11.22,0.0,0.007102470888046228,4.39,12.742192933781372,2.4870451236157525,1.06,2.555808656036447,44.51855729381034,sample_2R3k0000-integrate_subtracted.dat,3.4306300435155688,-525.13,0.37386453363802596,6.270669771676519,7.461135370847257
9.01,0.08,5.332267024223286,2.71,2.706526112794753,2.521036019941977,1.04,3.3247232472324724,10.005858488842227,sample_2_10_00000-integrate_subtracted.dat,4.998930810992713,-487.18,0.1670804892504732,7.810169589780207,7.563108059825931
56.18,0.06,429.98161208113737,17.76,15.9809045980465,17.460271190972506,0.98,3.163288288288288,57.85905271334647,sample_2_10_100000-integrate_subtracted.dat,24.084698080827476,-674.19,1.0949629111027321,51.76970408123394,52.38081357291752
48.91,0.1,408.35902103729956,16.03,17.00493831308471,15.499801636024701,1.35,3.0511540860885833,59.8308863853222,sample_2_10_20000-integrate_subtracted.dat,31.090703356165044,-889.6,0.9883026725775224,47.80526319590952,46.499404908074105
9.11,0.0,11.864150481792413,3.58,15.879490879027081,2.1959190641452597,6.53,2.5446927374301676,57.5594197036729,sample_2_10_200000-integrate_subtracted.dat,3.029050757081971,-3010.89,0.2207188750984111,5.645707913917457,6.587757192435779
70.0,0.2,421.0659124311429,19.99,16.19765942192788,17.25082655424156,0.89,3.501750875437719,58.04594593254668,sample_2_10_300000-integrate_subtracted.dat,23.79579014892081,-496.86,1.2324498081612394,53.78807719612582,51.75247966272468
55.51,0.04,362.0144551029672,17.5,16.20111457885078,15.535247110763262,0.81,3.1719999999999997,58.325693239995836,sample_2_10_50000-integrate_subtracted.dat,34.46548944887725,-554.14,1.0789330486654174,46.75591538769316,46.60574133228978
11.25,0.0,18.803896079476853,4.31,17.103058320164955,2.6837427479156912,2.95,2.6102088167053368,59.883047462707914,sample_2_10_500000-integrate_subtracted.dat,3.7019547464749043,-1367.1,0.2657257965570256,6.7630317247475435,8.051228243747074
50.79,0.06,366.48091795738225,16.59,15.673952675716507,15.612286750173139,0.96,3.061482820976492,54.91990891407038,sample_2_10_600000-integrate_subtracted.dat,37.41808474629034,-602.73,1.0228285301348157,47.74237288202932,46.836860250519415
11.17,0.35,6.590565495987052,3.27,3.1639258174797105,2.886966982766499,0.96,3.4159021406727827,10.455204026983333,sample_2_2_00000-integrate_subtracted.dat,10.38711955113992,-457.39,0.20160634680776657,9.625147920543483,8.660900948299497
57.11,0.17,365.3528008939619,17.55,15.28847363852892,15.245522113180861,0.97,3.254131054131054,55.68429984755353,sample_2_2_100000-integrate_subtracted.dat,38.02865904195014,-559.72,1.0820157145187472,45.873776038560536,45.736566339542584
55.8,0.37,332.98405925061854,17.37,15.156930273933451,14.771164272310084,1.06,3.2124352331606216,56.280945435672855,sample_2_2_20000-integrate_subtracted.dat,39.477228994622735,-556.61,1.0709181174467601,42.64435125415955,44.31349281693025
58.22,0.53,379.9871159860266,18.01,15.659634366064354,15.307322029528914,0.99,3.2326485285952247,56.7710712944159,sample_2_2_200000-integrate_subtracted.dat,35.27951217925181,-560.51,1.110376240369381,46.14392225801461,45.92196608858674
58.46,0.26,10.589378623001656,18.15,16.5115224556287,1.9949906163032722,0.93,3.2209366391184577,58.72634826924618,sample_2_2_300000-integrate_subtracted.dat,2.7518900561287336,-504.12,1.1190077047587041,5.047326259247285,5.984971848909817
52.21,0.17,371.72418727109374,16.69,15.432846575432984,17.13352920596008,1.06,3.1282204913121627,55.88276956407008,sample_2_2_50000-integrate_subtracted.dat,23.633990186701332,-587.81,1.0289938618414753,52.12019584453065,51.40058761788024
56.32,0.27,237.68245207859772,17.6,15.424954152819716,10.597479718694215,1.04,3.1999999999999997,56.288779036659626,sample_2_2_500000-integrate_subtracted.dat,14.6181635239668,-578.92,1.085098380372077,29.153666706127694,31.792439156082644
58.79,0.36,425.990117262655,17.92,15.98830194216347,16.98938377289747,1.28,3.280691964285714,57.756177893866855,sample_2_2_600000-integrate_subtracted.dat,23.435155976334766,-672.83,1.1048274418333874,55.470338018511015,50.96815131869241
11.02,0.24,6.628429066536577,3.2,3.056591244559149,2.9089445158086247,1.0,3.4437499999999996,10.617804496321634,sample_2_5_00000-integrate_subtracted.dat,10.031495162766056,-465.53,0.1972906146131049,8.718106713878539,8.726833547425874
